id,customer_first_name,customer_last_name,customer_email,vehicle_vin,vehicle_make,vehicle_model,rental_start_date,rental_duration,rental_day_rate,status
1,Odella,Bowshire,obowshire0@exblog.jp,WBABD33404J391290,Ford,ZX2,10/27/2022,1,162.48,paid
2,Alex,Gatherell,agatherell1@elpais.com,JTMHY7AJ5B5656504,Chevrolet,G-Series 1500,5/19/2022,14,124.75,unpaid
3,Fanni,Duinbleton,fduinbleton2@wufoo.com,JM1NC2SF9F0325197,Toyota,Tundra,12/28/2022,5,176.32,unpaid
4,Dana,Haldene,dhaldene3@tripod.com,1GD021EG4FZ819292,Dodge,Viper RT/10,7/29/2022,19,147.67,paid
5,Abbe,McSparran,amcsparran4@unc.edu,WBANV93528C627468,Volkswagen,Eurovan,9/29/2022,14,173.62,unpaid
6,Patsy,Stanbridge,pstanbridge5@surveymonkey.com,1G6DU57V790804705,Chevrolet,2500,3/1/2023,2,139.1,unpaid
7,Monti,Jesper,mjesper6@un.org,5GAKRCED8CJ003496,Lamborghini,Murciélago LP640,1/23/2023,13,171.6,unpaid
8,Louisette,Martt,lmartt7@myspace.com,WBAEN33473P633191,BMW,5 Series,10/26/2022,19,193.69,unpaid
9,Marcy,Delgardo,mdelgardo8@google.fr,1G6DM5ED6B0350009,Hyundai,Accent,1/17/2023,2,130.44,paid
10,Dom,Stennett,dstennett9@imgur.com,1GYS3GKJ2FR133680,Kia,Sephia,9/14/2022,6,123.33,paid
11,Roslyn,Rishman,rrishmana@samsung.com,2D4RN4DEXAR753180,Mazda,MPV,7/1/2022,10,50.06,unpaid
12,Daveta,Jacqueminet,djacqueminetb@nps.gov,3VWKP7AJXDM671938,Lexus,RX Hybrid,5/12/2023,6,173.97,paid
13,Helge,Munt,hmuntc@slate.com,KNAFX5A80E5431341,Lincoln,MKX,7/29/2022,11,150.33,unpaid
14,Sibby,Aggus,saggusd@bigcartel.com,5J8TB4H39GL494091,Buick,Riviera,1/25/2023,26,53.48,unpaid
15,Harmonia,Stoddard,hstoddarde@howstuffworks.com,WA1DKBFP7BA759330,Infiniti,I,10/2/2022,19,115.26,paid
16,Wilden,Ehrat,wehratf@paginegialle.it,4T1BK1EB9FU138166,GMC,Jimmy,3/22/2023,25,85.7,paid
17,Titus,Lambertson,tlambertsong@unc.edu,1FMJK1G51EE743436,Ford,F350,11/14/2022,1,181.1,paid
18,Drusilla,Joska,djoskah@telegraph.co.uk,JM1NC2LF5D0894902,Saturn,L-Series,6/11/2022,3,170.64,unpaid
19,Kiley,Stiffell,kstiffelli@dagondesign.com,WAU2GBFC5DN297922,Audi,RS 4,12/28/2022,27,132.69,unpaid
20,Valenka,Dobbinson,vdobbinsonj@ebay.com,WAUVFAFR5AA949746,Lexus,LS,4/24/2023,24,61.55,paid
